85	 Q0	AP890704-0150	1	-65.58518590988717	 LM
85	 Q0	AP890710-0011	2	-65.58518590988717	 LM
85	 Q0	AP890302-0132	3	-65.65412694364605	 LM
85	 Q0	AP890915-0075	4	-66.06303955178042	 LM
85	 Q0	AP890710-0119	5	-66.23760046094998	 LM
85	 Q0	AP890710-0036	6	-66.30223478143182	 LM
85	 Q0	AP890808-0004	7	-66.30776770460933	 LM
85	 Q0	AP890518-0050	8	-66.43549553244304	 LM
85	 Q0	AP890731-0042	9	-66.53440800644813	 LM
85	 Q0	AP890322-0259	10	-66.5493392554639	 LM
85	 Q0	AP890220-0143	11	-66.56718822298706	 LM
85	 Q0	AP890125-0024	12	-66.6415120140293	 LM
85	 Q0	AP890904-0081	13	-66.65890458978333	 LM
85	 Q0	AP890516-0199	14	-66.71380097480824	 LM
85	 Q0	AP890417-0030	15	-66.78681045170799	 LM
85	 Q0	AP890726-0212	16	-66.8545666209778	 LM
85	 Q0	AP890209-0040	17	-66.85938563928288	 LM
85	 Q0	AP891102-0229	18	-66.87071594235964	 LM
85	 Q0	AP891106-0059	19	-66.87090523054147	 LM
85	 Q0	AP890116-0163	20	-66.89240956641588	 LM
85	 Q0	AP891207-0148	21	-66.89638765550032	 LM
85	 Q0	AP890622-0096	22	-66.92710941730658	 LM
85	 Q0	AP890916-0103	23	-66.99716366542707	 LM
85	 Q0	AP890823-0084	24	-66.99807326741477	 LM
85	 Q0	AP890202-0229	25	-67.03711593505842	 LM
85	 Q0	AP890418-0038	26	-67.04094855227805	 LM
85	 Q0	AP890904-0058	27	-67.0439825521025	 LM
85	 Q0	AP891204-0112	28	-67.05095493492819	 LM
85	 Q0	AP891013-0120	29	-67.11661419940458	 LM
85	 Q0	AP891204-0155	30	-67.1172583360253	 LM
85	 Q0	AP890223-0032	31	-67.1512764421788	 LM
85	 Q0	AP890324-0039	32	-67.15154175867931	 LM
85	 Q0	AP890912-0198	33	-67.15533071400084	 LM
85	 Q0	AP890728-0062	34	-67.17554201936436	 LM
85	 Q0	AP890525-0042	35	-67.22292868806504	 LM
85	 Q0	AP890212-0024	36	-67.2297155258635	 LM
85	 Q0	AP890118-0229	37	-67.260335403547	 LM
85	 Q0	AP891230-0030	38	-67.26113247588881	 LM
85	 Q0	AP890519-0131	39	-67.2673535915684	 LM
85	 Q0	AP890125-0007	40	-67.26773271932194	 LM
85	 Q0	AP890728-0172	41	-67.26898367096582	 LM
85	 Q0	AP890206-0065	42	-67.27383338075246	 LM
85	 Q0	AP890305-0045	43	-67.33155087724393	 LM
85	 Q0	AP890620-0122	44	-67.33522761504398	 LM
85	 Q0	AP890705-0049	45	-67.35705625697848	 LM
85	 Q0	AP890709-0024	46	-67.3979269652472	 LM
85	 Q0	AP890714-0124	47	-67.40118828831223	 LM
85	 Q0	AP890930-0020	48	-67.40550870689732	 LM
85	 Q0	AP891012-0293	49	-67.43672180925903	 LM
85	 Q0	AP890425-0085	50	-67.43702514021211	 LM
85	 Q0	AP890731-0055	51	-67.44334017168806	 LM
85	 Q0	AP890412-0196	52	-67.44497197284608	 LM
85	 Q0	AP891220-0145	53	-67.45236643678281	 LM
85	 Q0	AP890509-0162	54	-67.55268453709245	 LM
85	 Q0	AP891219-0050	55	-67.5538981370005	 LM
85	 Q0	AP890410-0010	56	-67.55488400621074	 LM
85	 Q0	AP890816-0130	57	-67.5553389681395	 LM
85	 Q0	AP890516-0238	58	-67.55810591018066	 LM
85	 Q0	AP891127-0164	59	-67.55882586395292	 LM
85	 Q0	AP891118-0138	60	-67.55950784574222	 LM
85	 Q0	AP890907-0221	61	-67.56000033994148	 LM
85	 Q0	AP890501-0023	62	-67.56030339320316	 LM
85	 Q0	AP890304-0090	63	-67.56280299873086	 LM
85	 Q0	AP890606-0160	64	-67.56927440941287	 LM
85	 Q0	AP890428-0084	65	-67.58214485581168	 LM
85	 Q0	AP890323-0196	66	-67.58286530552483	 LM
85	 Q0	AP890223-0263	67	-67.58415431545644	 LM
85	 Q0	AP890619-0191	68	-67.58764083686526	 LM
85	 Q0	AP890515-0088	69	-67.58900457654839	 LM
85	 Q0	AP890221-0159	70	-67.66564867634585	 LM
85	 Q0	AP890923-0026	71	-67.67034276506396	 LM
85	 Q0	AP890510-0123	72	-67.67224996312439	 LM
85	 Q0	AP890816-0159	73	-67.67259121152487	 LM
85	 Q0	AP890413-0182	74	-67.67293244051805	 LM
85	 Q0	AP890108-0030	75	-67.67638155511924	 LM
85	 Q0	AP891123-0122	76	-67.67672256862409	 LM
85	 Q0	AP890617-0131	77	-67.68690614674047	 LM
85	 Q0	AP890521-0093	78	-67.69883295597874	 LM
85	 Q0	AP890318-0091	79	-67.73231254224163	 LM
85	 Q0	AP890522-0129	80	-67.73356462509864	 LM
85	 Q0	AP890522-0097	81	-67.73542329654276	 LM
85	 Q0	AP890508-0042	82	-67.73584047019146	 LM
85	 Q0	AP891221-0151	83	-67.73656097454537	 LM
85	 Q0	AP890921-0154	84	-67.73841871816	 LM
85	 Q0	AP891211-0013	85	-67.73966952755823	 LM
85	 Q0	AP890919-0162	86	-67.73966952755823	 LM
85	 Q0	AP890111-0042	87	-67.73993481724514	 LM
85	 Q0	AP890613-0034	88	-67.74035167734137	 LM
85	 Q0	AP890427-0118	89	-67.74099585871063	 LM
85	 Q0	AP890422-0003	90	-67.74137475662303	 LM
85	 Q0	AP890722-0065	91	-67.74179151669253	 LM
85	 Q0	AP890207-0141	92	-67.74201882816611	 LM
85	 Q0	AP891218-0055	93	-67.74444294819301	 LM
85	 Q0	AP890107-0080	94	-67.74584394593695	 LM
85	 Q0	AP890310-0260	95	-67.74637396789537	 LM
85	 Q0	AP890604-0017	96	-67.74981796984437	 LM
85	 Q0	AP890927-0183	97	-67.80301273466901	 LM
85	 Q0	AP890109-0072	98	-67.804340315159	 LM
85	 Q0	AP891114-0240	99	-67.80437824171422	 LM
85	 Q0	AP890203-0268	100	-67.80437824171422	 LM
85	 Q0	AP890501-0055	101	-67.80517464399966	 LM
85	 Q0	AP890222-0122	102	-67.80699459522882	 LM
85	 Q0	AP890516-0020	103	-67.80699459522883	 LM
85	 Q0	AP890705-0089	104	-67.80949612713748	 LM
85	 Q0	AP890826-0062	105	-67.80960980835638	 LM
85	 Q0	AP891214-0124	106	-67.81014029223383	 LM
85	 Q0	AP890901-0165	107	-67.81021607181628	 LM
85	 Q0	AP890726-0241	108	-67.83353677113095	 LM
85	 Q0	AP890123-0065	109	-67.83812839098849	 LM
85	 Q0	AP890123-0066	110	-67.83926657255714	 LM
85	 Q0	AP891104-0107	111	-67.84260399347426	 LM
85	 Q0	AP890516-0158	112	-67.8427935639392	 LM
85	 Q0	AP891215-0157	113	-67.8431347756833	 LM
85	 Q0	AP890505-0038	114	-67.84540902489242	 LM
85	 Q0	AP891128-0061	115	-67.84741722823229	 LM
85	 Q0	AP890204-0096	116	-67.91615174163884	 LM
85	 Q0	AP890428-0196	117	-67.91899628727597	 LM
85	 Q0	AP891215-0082	118	-67.92032328053583	 LM
85	 Q0	AP890615-0143	119	-67.93919899459348	 LM
85	 Q0	AP890217-0079	120	-67.93927483068641	 LM
85	 Q0	AP890502-0309	121	-67.94063971647789	 LM
85	 Q0	AP890309-0046	122	-67.94082925939516	 LM
85	 Q0	AP890511-0114	123	-67.94147366052918	 LM
85	 Q0	AP890916-0058	124	-67.95469712827749	 LM
85	 Q0	AP890126-0155	125	-67.95617702165677	 LM
85	 Q0	AP890113-0184	126	-67.95625290378655	 LM
85	 Q0	AP890515-0006	127	-67.9568219891719	 LM
85	 Q0	AP891016-0154	128	-67.95716341449628	 LM
85	 Q0	AP891230-0081	129	-67.95788413749611	 LM
85	 Q0	AP891122-0224	130	-67.95879440071563	 LM
85	 Q0	AP891122-0227	131	-67.95883232535304	 LM
85	 Q0	AP890106-0119	132	-67.95936324510868	 LM
85	 Q0	AP890819-0056	133	-67.95974244474476	 LM
85	 Q0	AP891216-0047	134	-67.95989411788914	 LM
85	 Q0	AP890116-0016	135	-67.95989411788914	 LM
85	 Q0	AP890820-0019	136	-67.95989411788915	 LM
85	 Q0	AP890923-0082	137	-67.96122109437863	 LM
85	 Q0	AP891016-0019	138	-67.96144854659791	 LM
85	 Q0	AP890612-0018	139	-67.96167599019508	 LM
85	 Q0	AP890714-0044	140	-67.96167599019508	 LM
85	 Q0	AP890530-0201	141	-67.96247197489565	 LM
85	 Q0	AP890715-0030	142	-67.96258567837593	 LM
85	 Q0	AP890413-0055	143	-67.96277517938819	 LM
85	 Q0	AP891116-0078	144	-67.96296467441555	 LM
85	 Q0	AP890125-0242	145	-67.96307836855935	 LM
85	 Q0	AP890704-0151	146	-67.96326785401162	 LM
85	 Q0	AP890710-0012	147	-67.96326785401162	 LM
85	 Q0	AP890723-0023	148	-67.96326785401163	 LM
