85	 Q0	AP890220-0143	1	23.6560450805244	 Exp
85	 Q0	AP890302-0132	2	21.916657942294574	 Exp
85	 Q0	AP890322-0259	3	21.514157826531974	 Exp
85	 Q0	AP890904-0081	4	20.817424469854203	 Exp
85	 Q0	AP890726-0212	5	20.65495243023567	 Exp
85	 Q0	AP890915-0075	6	20.580316533550686	 Exp
85	 Q0	AP890518-0050	7	20.377378694677404	 Exp
85	 Q0	AP891230-0030	8	19.78850814686354	 Exp
85	 Q0	AP890118-0229	9	19.610891581762427	 Exp
85	 Q0	AP890209-0040	10	19.458212076901066	 Exp
85	 Q0	AP890710-0036	11	19.447286817146104	 Exp
85	 Q0	AP890710-0011	12	19.37997704051945	 Exp
85	 Q0	AP890704-0150	13	19.315325972276913	 Exp
85	 Q0	AP890202-0229	14	19.1611078124841	 Exp
85	 Q0	AP890525-0042	15	19.143484832414984	 Exp
85	 Q0	AP890731-0042	16	19.049743767581564	 Exp
85	 Q0	AP890731-0055	17	18.942643988710717	 Exp
85	 Q0	AP890418-0038	18	18.698450125830156	 Exp
85	 Q0	AP890125-0024	19	18.653147987658357	 Exp
85	 Q0	AP890412-0196	20	18.585153271636017	 Exp
85	 Q0	AP890710-0119	21	18.367987677398595	 Exp
85	 Q0	AP891005-0243	22	18.181615866741705	 Exp
85	 Q0	AP890728-0062	23	18.118797255353766	 Exp
85	 Q0	AP890622-0096	24	18.10837736063503	 Exp
85	 Q0	AP890116-0163	25	18.05423585765947	 Exp
85	 Q0	AP891111-0095	26	17.42240035482471	 Exp
85	 Q0	AP890428-0084	27	17.38862290148096	 Exp
85	 Q0	AP890823-0084	28	17.380498124134434	 Exp
85	 Q0	AP890131-0031	29	17.36272932687823	 Exp
85	 Q0	AP890916-0103	30	17.326053839162245	 Exp
85	 Q0	AP890705-0049	31	17.25661154684246	 Exp
85	 Q0	AP890126-0155	32	17.255456500805465	 Exp
85	 Q0	AP890904-0058	33	17.078401963781566	 Exp
85	 Q0	AP890709-0024	34	17.070109647251314	 Exp
85	 Q0	AP890109-0072	35	16.839214393868765	 Exp
85	 Q0	AP890223-0032	36	16.82943573643662	 Exp
85	 Q0	AP890728-0172	37	16.687970733512834	 Exp
85	 Q0	AP891013-0120	38	16.680575562079586	 Exp
85	 Q0	AP890901-0165	39	16.49680276204887	 Exp
