85	 Q0	AP890915-0075	1	2.378409467190358	 Exp
85	 Q0	AP890220-0143	2	2.2730721597791512	 Exp
85	 Q0	AP890704-0150	3	2.2469442041866943	 Exp
85	 Q0	AP890710-0011	4	2.2469442041866943	 Exp
85	 Q0	AP890302-0132	5	2.1673277202452548	 Exp
85	 Q0	AP890209-0040	6	2.1032005356849712	 Exp
85	 Q0	AP890322-0259	7	2.0981343388494604	 Exp
85	 Q0	AP890118-0229	8	2.09806308836453	 Exp
85	 Q0	AP890710-0036	9	2.0917109797766207	 Exp
85	 Q0	AP890418-0038	10	2.083121478496057	 Exp
85	 Q0	AP891230-0030	11	2.0807210655776487	 Exp
85	 Q0	AP890726-0212	12	2.07972177635099	 Exp
85	 Q0	AP890710-0119	13	2.063857295828395	 Exp
85	 Q0	AP890904-0081	14	2.0625437040840033	 Exp
85	 Q0	AP890731-0042	15	2.049894192959294	 Exp
85	 Q0	AP890202-0229	16	2.0314631678792887	 Exp
85	 Q0	AP890516-0199	17	1.974913410974794	 Exp
85	 Q0	AP890518-0050	18	1.963024793226686	 Exp
85	 Q0	AP890221-0159	19	1.9377522115561412	 Exp
85	 Q0	AP890622-0096	20	1.8937152521787417	 Exp
85	 Q0	AP890808-0004	21	1.887849378212675	 Exp
85	 Q0	AP890728-0062	22	1.8851847891700655	 Exp
85	 Q0	AP891207-0148	23	1.8762951215521748	 Exp
85	 Q0	AP891204-0112	24	1.8722555489395396	 Exp
85	 Q0	AP890412-0196	25	1.8702272504484894	 Exp
85	 Q0	AP890916-0103	26	1.8689691676830202	 Exp
85	 Q0	AP890904-0058	27	1.8601687044059496	 Exp
85	 Q0	AP891102-0229	28	1.8589657529470518	 Exp
85	 Q0	AP891106-0059	29	1.8555822726149434	 Exp
85	 Q0	AP890125-0007	30	1.8404627041002375	 Exp
85	 Q0	AP891013-0120	31	1.830473914121065	 Exp
85	 Q0	AP890417-0030	32	1.8294543685058553	 Exp
85	 Q0	AP890206-0065	33	1.8249090634914802	 Exp
85	 Q0	AP890305-0045	34	1.8220457175555487	 Exp
85	 Q0	AP890125-0024	35	1.8217773983386294	 Exp
85	 Q0	AP890116-0163	36	1.815449385701634	 Exp
85	 Q0	AP890714-0124	37	1.8144252906681255	 Exp
85	 Q0	AP890212-0024	38	1.811976937502859	 Exp
85	 Q0	AP890731-0055	39	1.8070963810169793	 Exp
85	 Q0	AP890525-0042	40	1.8056846114442726	 Exp
85	 Q0	AP890916-0058	41	1.7984663175972984	 Exp
85	 Q0	AP890823-0084	42	1.7894610849385657	 Exp
85	 Q0	AP890709-0024	43	1.7822477454505508	 Exp
85	 Q0	AP890509-0162	44	1.7791860380282905	 Exp
85	 Q0	AP890516-0238	45	1.7713611800141744	 Exp
85	 Q0	AP890223-0032	46	1.765824413016352	 Exp
85	 Q0	AP890519-0131	47	1.7643481838200519	 Exp
85	 Q0	AP891219-0050	48	1.7638188876247618	 Exp
85	 Q0	AP890620-0122	49	1.7615161111694406	 Exp
85	 Q0	AP890324-0039	50	1.761076349859759	 Exp
85	 Q0	AP890515-0006	51	1.7581972215778743	 Exp
85	 Q0	AP891220-0145	52	1.7519794064484238	 Exp
