AP890102-0139 4:0.4489247311827957 15:0.19086021505376344 1:0.11200716845878136 7:0.10125448028673835 0:0.06182795698924731 3:0.02956989247311828 11:0.01881720430107527 5:0.015232974910394265 6:0.004480286738351254 8:0.004480286738351254 10:0.004480286738351254 12:8.960573476702509E-4 13:8.960573476702509E-4 14:8.960573476702509E-4 16:8.960573476702509E-4 17:8.960573476702509E-4 18:8.960573476702509E-4 19:8.960573476702509E-4 2:8.960573476702509E-4 9:8.960573476702509E-4
AP890103-0052 1:0.25589622641509435 2:0.17570754716981132 14:0.13797169811320756 3:0.12853773584905662 15:0.07665094339622641 4:0.07665094339622641 16:0.04834905660377359 19:0.04363207547169811 9:0.024764150943396228 17:0.01061320754716981 18:0.01061320754716981 11:0.0011792452830188679 12:0.0011792452830188679 13:0.0011792452830188679 0:0.0011792452830188679 5:0.0011792452830188679 6:0.0011792452830188679 7:0.0011792452830188679 8:0.0011792452830188679 10:0.0011792452830188679
AP890103-0161 10:0.48758278145695366 11:0.15314569536423842 15:0.10016556291390728 1:0.0802980132450331 3:0.060430463576158944 9:0.024006622516556293 17:0.0173841059602649 7:0.0173841059602649 0:0.014072847682119206 8:0.014072847682119206 13:0.01076158940397351 4:0.0074503311258278145 14:0.0041390728476821195 5:0.0041390728476821195 12:8.278145695364238E-4 16:8.278145695364238E-4 18:8.278145695364238E-4 19:8.278145695364238E-4 2:8.278145695364238E-4 6:8.278145695364238E-4
AP890103-0182 2:0.19579646017699115 14:0.13827433628318583 16:0.13827433628318583 10:0.10287610619469026 1:0.09402654867256637 18:0.07632743362831858 4:0.06305309734513274 7:0.05420353982300885 3:0.04535398230088496 8:0.04092920353982301 9:0.014380530973451327 15:0.00995575221238938 17:0.00995575221238938 13:0.0055309734513274336 6:0.0055309734513274336 11:0.0011061946902654867 12:0.0011061946902654867 19:0.0011061946902654867 0:0.0011061946902654867 5:0.0011061946902654867
AP890103-0216 10:0.2816205533596838 11:0.20652173913043478 1:0.19466403162055335 3:0.06818181818181818 15:0.04841897233201581 19:0.04841897233201581 8:0.04841897233201581 17:0.044466403162055336 2:0.020750988142292492 7:0.016798418972332016 13:0.012845849802371542 12:9.881422924901185E-4 14:9.881422924901185E-4 16:9.881422924901185E-4 18:9.881422924901185E-4 0:9.881422924901185E-4 4:9.881422924901185E-4 5:9.881422924901185E-4 6:9.881422924901185E-4 9:9.881422924901185E-4
AP890105-0060 3:0.5657467532467533 1:0.15665584415584416 15:0.10146103896103896 10:0.06574675324675325 2:0.026785714285714284 14:0.020292207792207792 12:0.017045454545454544 13:0.013798701298701298 19:0.007305194805194805 4:0.007305194805194805 17:0.004058441558441558 0:0.004058441558441558 5:0.004058441558441558 11:8.116883116883117E-4 16:8.116883116883117E-4 18:8.116883116883117E-4 6:8.116883116883117E-4 7:8.116883116883117E-4 8:8.116883116883117E-4 9:8.116883116883117E-4
AP890105-0253 18:0.7191358024691358 9:0.10185185185185185 15:0.040123456790123455 6:0.040123456790123455 5:0.027777777777777776 11:0.015432098765432098 1:0.015432098765432098 12:0.0030864197530864196 13:0.0030864197530864196 14:0.0030864197530864196 16:0.0030864197530864196 17:0.0030864197530864196 19:0.0030864197530864196 0:0.0030864197530864196 2:0.0030864197530864196 3:0.0030864197530864196 4:0.0030864197530864196 7:0.0030864197530864196 8:0.0030864197530864196 10:0.0030864197530864196
AP890105-0263 18:0.6414473684210527 9:0.10635964912280702 11:0.0800438596491228 15:0.0756578947368421 16:0.027412280701754384 17:0.009868421052631578 19:0.009868421052631578 1:0.009868421052631578 7:0.009868421052631578 8:0.009868421052631578 12:0.005482456140350877 14:0.005482456140350877 13:0.0010964912280701754 0:0.0010964912280701754 2:0.0010964912280701754 3:0.0010964912280701754 4:0.0010964912280701754 5:0.0010964912280701754 6:0.0010964912280701754 10:0.0010964912280701754
AP890106-0047 13:0.5010504201680672 15:0.24474789915966386 11:0.12710084033613445 0:0.051470588235294115 9:0.026260504201680673 12:0.01365546218487395 6:0.009453781512605041 17:0.005252100840336135 18:0.005252100840336135 5:0.005252100840336135 14:0.0010504201680672268 16:0.0010504201680672268 19:0.0010504201680672268 1:0.0010504201680672268 2:0.0010504201680672268 3:0.0010504201680672268 4:0.0010504201680672268 7:0.0010504201680672268 8:0.0010504201680672268 10:0.0010504201680672268
AP890106-0107 7:0.2675438596491228 13:0.2324561403508772 12:0.16228070175438597 2:0.12719298245614036 3:0.05701754385964912 5:0.05701754385964912 0:0.039473684210526314 11:0.0043859649122807015 14:0.0043859649122807015 15:0.0043859649122807015 16:0.0043859649122807015 17:0.0043859649122807015 18:0.0043859649122807015 19:0.0043859649122807015 1:0.0043859649122807015 4:0.0043859649122807015 6:0.0043859649122807015 8:0.0043859649122807015 9:0.0043859649122807015 10:0.0043859649122807015
AP890106-0147 12:0.3193069306930693 15:0.15099009900990099 11:0.1311881188118812 4:0.08168316831683169 13:0.06188118811881188 7:0.06188118811881188 1:0.04207920792079208 2:0.04207920792079208 3:0.03217821782178218 17:0.022277227722772276 8:0.022277227722772276 0:0.012376237623762377 14:0.0024752475247524753 16:0.0024752475247524753 18:0.0024752475247524753 19:0.0024752475247524753 5:0.0024752475247524753 6:0.0024752475247524753 9:0.0024752475247524753 10:0.0024752475247524753
AP890106-0149 13:0.3329015544041451 15:0.16709844559585493 1:0.16191709844559585 0:0.12564766839378239 6:0.042746113989637305 9:0.03756476683937824 11:0.027202072538860103 3:0.027202072538860103 7:0.022020725388601035 8:0.022020725388601035 10:0.01683937823834197 12:0.006476683937823834 14:0.0012953367875647669 16:0.0012953367875647669 17:0.0012953367875647669 18:0.0012953367875647669 19:0.0012953367875647669 2:0.0012953367875647669 4:0.0012953367875647669 5:0.0012953367875647669
AP890109-0011 7:0.2887453874538745 17:0.17804428044280443 15:0.14852398523985239 5:0.10424354243542436 19:0.09686346863468635 1:0.045202952029520294 2:0.03044280442804428 9:0.026752767527675275 3:0.01937269372693727 14:0.015682656826568265 10:0.015682656826568265 0:0.011992619926199263 11:0.004612546125461255 4:0.004612546125461255 6:0.004612546125461255 12:9.225092250922509E-4 13:9.225092250922509E-4 16:9.225092250922509E-4 18:9.225092250922509E-4 8:9.225092250922509E-4
AP890110-0067 19:0.26962809917355374 15:0.14979338842975207 1:0.12086776859504132 9:0.10433884297520661 2:0.07954545454545454 4:0.05475206611570248 18:0.029958677685950414 3:0.029958677685950414 6:0.029958677685950414 10:0.029958677685950414 12:0.025826446280991736 5:0.025826446280991736 11:0.013429752066115703 16:0.013429752066115703 8:0.013429752066115703 13:0.005165289256198347 14:0.0010330578512396695 17:0.0010330578512396695 0:0.0010330578512396695 7:0.0010330578512396695
AP890110-0263 5:0.36913145539906106 8:0.3104460093896714 15:0.13673708920187794 0:0.03814553990610329 19:0.02640845070422535 14:0.024061032863849766 6:0.01936619718309859 3:0.017018779342723004 1:0.014671361502347418 10:0.014671361502347418 13:0.009976525821596244 2:0.00528169014084507 9:0.00528169014084507 16:0.0029342723004694834 18:0.0029342723004694834 11:5.868544600938967E-4 12:5.868544600938967E-4 17:5.868544600938967E-4 4:5.868544600938967E-4 7:5.868544600938967E-4
AP890110-0308 8:0.3551587301587302 5:0.2916666666666667 15:0.12764550264550265 17:0.05886243386243386 0:0.05886243386243386 9:0.032407407407407406 1:0.021825396825396824 18:0.016534391534391533 11:0.013888888888888888 7:0.008597883597883597 16:0.0033068783068783067 3:0.0033068783068783067 4:0.0033068783068783067 12:6.613756613756613E-4 13:6.613756613756613E-4 14:6.613756613756613E-4 19:6.613756613756613E-4 2:6.613756613756613E-4 6:6.613756613756613E-4 10:6.613756613756613E-4
AP890111-0190 16:0.3358050847457627 12:0.3019067796610169 15:0.1281779661016949 9:0.07733050847457627 1:0.03919491525423729 7:0.034957627118644065 6:0.018008474576271187 13:0.013771186440677966 3:0.013771186440677966 10:0.013771186440677966 14:0.009533898305084746 0:0.005296610169491525 11:0.001059322033898305 17:0.001059322033898305 18:0.001059322033898305 19:0.001059322033898305 2:0.001059322033898305 4:0.001059322033898305 5:0.001059322033898305 8:0.001059322033898305
AP890111-0276 18:0.4401939655172414 16:0.16864224137931033 15:0.1557112068965517 0:0.052262931034482756 5:0.041487068965517244 1:0.03933189655172414 9:0.030711206896551723 14:0.01993534482758621 17:0.01993534482758621 19:0.009159482758620689 3:0.004849137931034483 6:0.004849137931034483 7:0.004849137931034483 11:0.0026939655172413795 13:0.0026939655172413795 12:5.387931034482759E-4 2:5.387931034482759E-4 4:5.387931034482759E-4 8:5.387931034482759E-4 10:5.387931034482759E-4
AP890112-0051 0:0.4445812807881773 9:0.24753694581280788 15:0.1687192118226601 4:0.03571428571428571 16:0.01600985221674877 13:0.011083743842364532 14:0.011083743842364532 19:0.011083743842364532 5:0.011083743842364532 6:0.011083743842364532 10:0.011083743842364532 3:0.006157635467980296 8:0.006157635467980296 11:0.0012315270935960591 12:0.0012315270935960591 17:0.0012315270935960591 18:0.0012315270935960591 1:0.0012315270935960591 2:0.0012315270935960591 7:0.0012315270935960591
AP890112-0264 17:0.39 10:0.23 6:0.15 9:0.08333333333333333 5:0.043333333333333335 15:0.03 13:0.016666666666666666 1:0.016666666666666666 11:0.0033333333333333335 12:0.0033333333333333335 14:0.0033333333333333335 16:0.0033333333333333335 18:0.0033333333333333335 19:0.0033333333333333335 0:0.0033333333333333335 2:0.0033333333333333335 3:0.0033333333333333335 4:0.0033333333333333335 7:0.0033333333333333335 8:0.0033333333333333335
AP890112-0265 5:0.5227272727272727 15:0.10521885521885523 9:0.08164983164983165 11:0.07154882154882154 18:0.05134680134680135 16:0.034511784511784514 17:0.034511784511784514 10:0.031144781144781145 14:0.021043771043771045 3:0.01430976430976431 12:0.010942760942760943 6:0.010942760942760943 4:0.004208754208754209 13:8.417508417508417E-4 19:8.417508417508417E-4 0:8.417508417508417E-4 1:8.417508417508417E-4 2:8.417508417508417E-4 7:8.417508417508417E-4 8:8.417508417508417E-4
AP890113-0108 6:0.22633136094674555 15:0.21449704142011836 13:0.1908284023668639 9:0.1908284023668639 1:0.07840236686390532 14:0.03106508875739645 0:0.019230769230769232 11:0.0073964497041420114 12:0.0073964497041420114 17:0.0073964497041420114 18:0.0073964497041420114 10:0.0073964497041420114 16:0.0014792899408284023 19:0.0014792899408284023 2:0.0014792899408284023 3:0.0014792899408284023 4:0.0014792899408284023 5:0.0014792899408284023 7:0.0014792899408284023 8:0.0014792899408284023
