AP890103-0110 12:0.2755681818181818 0:0.2528409090909091 11:0.13920454545454544 4:0.10511363636363637 3:0.09375 1:0.048295454545454544 2:0.02556818181818182 17:0.014204545454545454 9:0.014204545454545454 13:0.002840909090909091 14:0.002840909090909091 15:0.002840909090909091 16:0.002840909090909091 18:0.002840909090909091 19:0.002840909090909091 5:0.002840909090909091 6:0.002840909090909091 7:0.002840909090909091 8:0.002840909090909091 10:0.002840909090909091
AP890103-0152 5:0.4237193763919822 10:0.2878619153674833 1:0.13418708240534521 13:0.05400890868596882 11:0.04732739420935412 9:0.02505567928730512 2:0.007238307349665924 7:0.007238307349665924 14:0.005011135857461025 0:0.0027839643652561247 12:5.567928730512249E-4 15:5.567928730512249E-4 16:5.567928730512249E-4 17:5.567928730512249E-4 18:5.567928730512249E-4 19:5.567928730512249E-4 3:5.567928730512249E-4 4:5.567928730512249E-4 6:5.567928730512249E-4 8:5.567928730512249E-4
AP890103-0200 6:0.3103693181818182 18:0.2961647727272727 9:0.21661931818181818 13:0.04332386363636364 16:0.037642045454545456 7:0.037642045454545456 10:0.020596590909090908 15:0.014914772727272728 12:0.009232954545454546 1:0.0035511363636363635 5:0.0035511363636363635 11:7.102272727272727E-4 14:7.102272727272727E-4 17:7.102272727272727E-4 19:7.102272727272727E-4 0:7.102272727272727E-4 2:7.102272727272727E-4 3:7.102272727272727E-4 4:7.102272727272727E-4 8:7.102272727272727E-4
AP890103-0219 12:0.29524886877828055 13:0.2002262443438914 19:0.10972850678733032 10:0.09615384615384616 11:0.08710407239819004 3:0.04638009049773756 1:0.03733031674208145 6:0.03733031674208145 9:0.032805429864253395 14:0.014705882352941176 7:0.014705882352941176 5:0.010180995475113122 8:0.010180995475113122 15:0.0011312217194570137 16:0.0011312217194570137 17:0.0011312217194570137 18:0.0011312217194570137 0:0.0011312217194570137 2:0.0011312217194570137 4:0.0011312217194570137
AP890104-0208 6:0.38976945244956773 18:0.20244956772334294 9:0.1563400576368876 2:0.05547550432276657 7:0.05547550432276657 3:0.04394812680115274 14:0.018011527377521614 1:0.018011527377521614 16:0.015129682997118156 0:0.015129682997118156 4:0.012247838616714697 12:0.009365994236311239 10:0.0036023054755043226 11:7.204610951008645E-4 13:7.204610951008645E-4 15:7.204610951008645E-4 17:7.204610951008645E-4 19:7.204610951008645E-4 5:7.204610951008645E-4 8:7.204610951008645E-4
AP890105-0011 19:0.5496632996632996 12:0.14562289562289563 1:0.12205387205387205 13:0.09175084175084175 9:0.021043771043771045 6:0.01430976430976431 2:0.010942760942760943 3:0.010942760942760943 10:0.010942760942760943 0:0.007575757575757576 4:0.004208754208754209 7:0.004208754208754209 11:8.417508417508417E-4 14:8.417508417508417E-4 15:8.417508417508417E-4 16:8.417508417508417E-4 17:8.417508417508417E-4 18:8.417508417508417E-4 5:8.417508417508417E-4 8:8.417508417508417E-4
AP890105-0024 15:0.7610759493670886 12:0.08386075949367089 1:0.03322784810126582 9:0.02689873417721519 18:0.020569620253164556 4:0.020569620253164556 8:0.020569620253164556 19:0.007911392405063292 0:0.007911392405063292 11:0.0015822784810126582 13:0.0015822784810126582 14:0.0015822784810126582 16:0.0015822784810126582 17:0.0015822784810126582 2:0.0015822784810126582 3:0.0015822784810126582 5:0.0015822784810126582 6:0.0015822784810126582 7:0.0015822784810126582 10:0.0015822784810126582
AP890105-0053 5:0.48963133640552997 10:0.2868663594470046 13:0.06105990783410138 1:0.06105990783410138 0:0.03341013824884793 2:0.03341013824884793 9:0.010368663594470046 11:0.00576036866359447 17:0.00576036866359447 12:0.001152073732718894 14:0.001152073732718894 15:0.001152073732718894 16:0.001152073732718894 18:0.001152073732718894 19:0.001152073732718894 3:0.001152073732718894 4:0.001152073732718894 6:0.001152073732718894 7:0.001152073732718894 8:0.001152073732718894
AP890105-0153 11:0.48427152317880795 5:0.09685430463576158 14:0.0902317880794702 10:0.060430463576158944 0:0.050496688741721855 12:0.043874172185430466 1:0.037251655629139076 8:0.037251655629139076 9:0.037251655629139076 3:0.030629139072847682 13:0.01076158940397351 17:0.0074503311258278145 4:0.0074503311258278145 15:8.278145695364238E-4 16:8.278145695364238E-4 18:8.278145695364238E-4 19:8.278145695364238E-4 2:8.278145695364238E-4 6:8.278145695364238E-4 7:8.278145695364238E-4
AP890105-0167 16:0.6243718592964824 8:0.1620603015075377 4:0.08668341708542714 1:0.07160804020100503 3:0.016331658291457288 5:0.011306532663316583 10:0.011306532663316583 11:0.001256281407035176 12:0.001256281407035176 13:0.001256281407035176 14:0.001256281407035176 15:0.001256281407035176 17:0.001256281407035176 18:0.001256281407035176 19:0.001256281407035176 0:0.001256281407035176 2:0.001256281407035176 6:0.001256281407035176 7:0.001256281407035176 9:0.001256281407035176
AP890106-0010 5:0.7366293532338308 10:0.10230099502487562 13:0.046330845771144276 1:0.03513681592039801 11:0.03264925373134328 9:0.02643034825870647 16:0.012748756218905472 18:0.001554726368159204 2:0.001554726368159204 4:0.001554726368159204 12:3.109452736318408E-4 14:3.109452736318408E-4 15:3.109452736318408E-4 17:3.109452736318408E-4 19:3.109452736318408E-4 0:3.109452736318408E-4 3:3.109452736318408E-4 6:3.109452736318408E-4 7:3.109452736318408E-4 8:3.109452736318408E-4
AP890106-0084 16:0.5829081632653061 8:0.15433673469387754 1:0.09311224489795919 4:0.0778061224489796 9:0.047193877551020405 11:0.011479591836734694 7:0.011479591836734694 5:0.006377551020408163 12:0.0012755102040816326 13:0.0012755102040816326 14:0.0012755102040816326 15:0.0012755102040816326 17:0.0012755102040816326 18:0.0012755102040816326 19:0.0012755102040816326 0:0.0012755102040816326 2:0.0012755102040816326 3:0.0012755102040816326 6:0.0012755102040816326 10:0.0012755102040816326
