AP890101-0002 2:0.23648648648648649 0:0.15786240786240785 19:0.10872235872235872 7:0.09398034398034398 5:0.08169533169533169 13:0.07678132678132678 11:0.06203931203931204 4:0.05466830466830467 6:0.049754299754299756 10:0.04238329238329238 9:0.017813267813267815 16:0.010442260442260442 1:0.003071253071253071 12:6.142506142506142E-4 14:6.142506142506142E-4 15:6.142506142506142E-4 17:6.142506142506142E-4 18:6.142506142506142E-4 3:6.142506142506142E-4 8:6.142506142506142E-4
AP890102-0024 16:0.5027173913043478 14:0.20923913043478262 9:0.07880434782608696 17:0.057065217391304345 4:0.04619565217391304 6:0.035326086956521736 13:0.01358695652173913 18:0.01358695652173913 0:0.01358695652173913 11:0.002717391304347826 12:0.002717391304347826 15:0.002717391304347826 19:0.002717391304347826 1:0.002717391304347826 2:0.002717391304347826 3:0.002717391304347826 5:0.002717391304347826 7:0.002717391304347826 8:0.002717391304347826 10:0.002717391304347826
AP890102-0139 10:0.4775985663082437 2:0.2625448028673835 11:0.11200716845878136 0:0.051075268817204304 14:0.02956989247311828 6:0.022401433691756272 12:0.011648745519713262 9:0.011648745519713262 15:0.008064516129032258 18:0.004480286738351254 13:8.960573476702509E-4 16:8.960573476702509E-4 17:8.960573476702509E-4 19:8.960573476702509E-4 1:8.960573476702509E-4 3:8.960573476702509E-4 4:8.960573476702509E-4 5:8.960573476702509E-4 7:8.960573476702509E-4 8:8.960573476702509E-4
AP890102-0140 10:0.5025510204081632 2:0.20051020408163264 11:0.08826530612244898 3:0.045408163265306126 4:0.039285714285714285 1:0.027040816326530614 6:0.025 0:0.01683673469387755 18:0.01479591836734694 15:0.012755102040816327 12:0.0066326530612244895 7:0.0066326530612244895 16:0.004591836734693878 19:0.002551020408163265 5:0.002551020408163265 9:0.002551020408163265 13:5.102040816326531E-4 14:5.102040816326531E-4 17:5.102040816326531E-4 8:5.102040816326531E-4
AP890103-0189 2:0.35 10:0.2652542372881356 6:0.08220338983050847 11:0.0788135593220339 8:0.07542372881355933 0:0.051694915254237285 3:0.048305084745762714 13:0.017796610169491526 9:0.011016949152542373 14:0.00423728813559322 17:0.00423728813559322 18:0.00423728813559322 12:8.47457627118644E-4 15:8.47457627118644E-4 16:8.47457627118644E-4 19:8.47457627118644E-4 1:8.47457627118644E-4 4:8.47457627118644E-4 5:8.47457627118644E-4 7:8.47457627118644E-4
AP890104-0084 14:0.34022556390977443 8:0.17481203007518797 3:0.13721804511278196 2:0.09210526315789473 6:0.07706766917293233 18:0.05451127819548872 15:0.02443609022556391 16:0.02443609022556391 11:0.016917293233082706 13:0.016917293233082706 1:0.016917293233082706 0:0.009398496240601503 12:0.0018796992481203006 17:0.0018796992481203006 19:0.0018796992481203006 4:0.0018796992481203006 5:0.0018796992481203006 7:0.0018796992481203006 9:0.0018796992481203006 10:0.0018796992481203006
AP890104-0229 7:0.45130813953488375 2:0.1751453488372093 9:0.11700581395348837 0:0.0559593023255814 1:0.053052325581395346 11:0.029796511627906978 4:0.02688953488372093 6:0.02688953488372093 13:0.021075581395348836 19:0.015261627906976744 15:0.00944767441860465 12:0.006540697674418605 3:0.006540697674418605 14:7.267441860465116E-4 16:7.267441860465116E-4 17:7.267441860465116E-4 18:7.267441860465116E-4 5:7.267441860465116E-4 8:7.267441860465116E-4 10:7.267441860465116E-4
AP890104-0233 5:0.2825342465753425 8:0.15924657534246575 4:0.1386986301369863 13:0.09075342465753425 1:0.09075342465753425 17:0.06335616438356165 18:0.05650684931506849 12:0.04280821917808219 11:0.02910958904109589 7:0.015410958904109588 16:0.008561643835616438 19:0.008561643835616438 14:0.0017123287671232876 15:0.0017123287671232876 0:0.0017123287671232876 2:0.0017123287671232876 3:0.0017123287671232876 6:0.0017123287671232876 9:0.0017123287671232876 10:0.0017123287671232876
AP890104-0254 11:0.4140826873385013 4:0.12726098191214472 7:0.11175710594315245 2:0.07299741602067183 0:0.06524547803617571 3:0.03940568475452196 13:0.03165374677002584 10:0.03165374677002584 9:0.02648578811369509 6:0.023901808785529714 8:0.023901808785529714 14:0.018733850129198967 15:0.008397932816537468 12:6.459948320413437E-4 16:6.459948320413437E-4 17:6.459948320413437E-4 18:6.459948320413437E-4 19:6.459948320413437E-4 1:6.459948320413437E-4 5:6.459948320413437E-4
AP890104-0274 8:0.2862903225806452 5:0.17338709677419356 1:0.135752688172043 4:0.1196236559139785 2:0.06586021505376344 13:0.04973118279569892 0:0.033602150537634407 6:0.033602150537634407 18:0.028225806451612902 9:0.028225806451612902 7:0.0228494623655914 11:0.006720430107526882 17:0.006720430107526882 12:0.0013440860215053765 14:0.0013440860215053765 15:0.0013440860215053765 16:0.0013440860215053765 19:0.0013440860215053765 3:0.0013440860215053765 10:0.0013440860215053765
AP890105-0237 19:0.593562874251497 2:0.17739520958083832 5:0.12949101796407186 15:0.030688622754491017 9:0.027694610778443114 0:0.0187125748502994 12:0.012724550898203593 11:7.485029940119761E-4 13:7.485029940119761E-4 14:7.485029940119761E-4 16:7.485029940119761E-4 17:7.485029940119761E-4 18:7.485029940119761E-4 1:7.485029940119761E-4 3:7.485029940119761E-4 4:7.485029940119761E-4 6:7.485029940119761E-4 7:7.485029940119761E-4 8:7.485029940119761E-4 10:7.485029940119761E-4
