AP890101-0002 0:0.32002457002457 16:0.2905405405405405 12:0.08415233415233415 17:0.07186732186732187 11:0.057125307125307126 10:0.03992628992628992 5:0.032555282555282554 18:0.02764127764127764 19:0.02764127764127764 2:0.017813267813267815 4:0.007985257985257985 1:0.005528255528255528 8:0.005528255528255528 3:0.003071253071253071 6:0.003071253071253071 9:0.003071253071253071 13:6.142506142506142E-4 14:6.142506142506142E-4 15:6.142506142506142E-4 7:6.142506142506142E-4
AP890102-0009 1:0.33752327746741156 16:0.14757914338919925 19:0.10102420856610801 15:0.0824022346368715 17:0.0824022346368715 6:0.07867783985102421 12:0.03957169459962756 3:0.03584729981378026 2:0.02653631284916201 4:0.024674115456238363 0:0.01722532588454376 9:0.011638733705772812 18:0.006052141527001862 8:0.004189944134078212 7:0.0023277467411545625 11:4.655493482309125E-4 13:4.655493482309125E-4 14:4.655493482309125E-4 5:4.655493482309125E-4 10:4.655493482309125E-4
AP890102-0144 19:0.3727168949771689 10:0.20833333333333334 16:0.18550228310502284 6:0.12157534246575342 3:0.021118721461187213 9:0.021118721461187213 1:0.018835616438356163 7:0.018835616438356163 2:0.009703196347031963 18:0.007420091324200913 15:0.005136986301369863 17:0.0028538812785388126 8:0.0028538812785388126 11:5.707762557077625E-4 12:5.707762557077625E-4 13:5.707762557077625E-4 14:5.707762557077625E-4 0:5.707762557077625E-4 4:5.707762557077625E-4 5:5.707762557077625E-4
AP890104-0254 18:0.3494832041343669 16:0.12467700258397933 9:0.1065891472868217 17:0.10400516795865633 0:0.07299741602067183 19:0.06266149870801034 10:0.060077519379844964 14:0.05749354005167959 13:0.03165374677002584 7:0.01614987080103359 3:0.005813953488372093 4:0.003229974160206718 11:6.459948320413437E-4 12:6.459948320413437E-4 15:6.459948320413437E-4 1:6.459948320413437E-4 2:6.459948320413437E-4 5:6.459948320413437E-4 6:6.459948320413437E-4 8:6.459948320413437E-4
AP890104-0274 0:0.37768817204301075 12:0.2271505376344086 16:0.125 1:0.06048387096774194 3:0.05510752688172043 10:0.04973118279569892 2:0.033602150537634407 11:0.01747311827956989 18:0.01747311827956989 6:0.01747311827956989 4:0.006720430107526882 13:0.0013440860215053765 14:0.0013440860215053765 15:0.0013440860215053765 17:0.0013440860215053765 19:0.0013440860215053765 5:0.0013440860215053765 7:0.0013440860215053765 8:0.0013440860215053765 9:0.0013440860215053765
AP890105-0095 15:0.32853982300884954 5:0.22676991150442477 16:0.09402654867256637 9:0.08517699115044247 12:0.08075221238938053 3:0.049778761061946904 1:0.032079646017699116 4:0.02765486725663717 18:0.018805309734513276 8:0.018805309734513276 17:0.014380530973451327 2:0.014380530973451327 11:0.0011061946902654867 13:0.0011061946902654867 14:0.0011061946902654867 19:0.0011061946902654867 0:0.0011061946902654867 6:0.0011061946902654867 7:0.0011061946902654867 10:0.0011061946902654867
AP890105-0126 19:0.2897058823529412 2:0.26029411764705884 4:0.13088235294117648 1:0.0838235294117647 16:0.07205882352941176 13:0.0661764705882353 12:0.060294117647058824 15:0.007352941176470588 0:0.007352941176470588 5:0.007352941176470588 11:0.0014705882352941176 14:0.0014705882352941176 17:0.0014705882352941176 18:0.0014705882352941176 3:0.0014705882352941176 6:0.0014705882352941176 7:0.0014705882352941176 8:0.0014705882352941176 9:0.0014705882352941176 10:0.0014705882352941176
AP890105-0241 4:0.33611111111111114 0:0.20277777777777778 16:0.18055555555555555 3:0.16944444444444445 12:0.025 19:0.025 13:0.013888888888888888 9:0.013888888888888888 11:0.002777777777777778 14:0.002777777777777778 15:0.002777777777777778 17:0.002777777777777778 18:0.002777777777777778 1:0.002777777777777778 2:0.002777777777777778 5:0.002777777777777778 6:0.002777777777777778 7:0.002777777777777778 8:0.002777777777777778 10:0.002777777777777778
AP890105-0276 3:0.5181159420289855 12:0.12198067632850242 16:0.10265700483091787 13:0.0929951690821256 2:0.059178743961352656 19:0.03985507246376811 6:0.035024154589371984 7:0.010869565217391304 11:0.006038647342995169 14:0.0012077294685990338 15:0.0012077294685990338 17:0.0012077294685990338 18:0.0012077294685990338 0:0.0012077294685990338 1:0.0012077294685990338 4:0.0012077294685990338 5:0.0012077294685990338 8:0.0012077294685990338 9:0.0012077294685990338 10:0.0012077294685990338
AP890106-0006 3:0.7252604166666666 1:0.10546875 19:0.04296875 12:0.022135416666666668 16:0.022135416666666668 15:0.016927083333333332 13:0.01171875 14:0.01171875 17:0.006510416666666667 18:0.006510416666666667 0:0.006510416666666667 8:0.006510416666666667 10:0.006510416666666667 11:0.0013020833333333333 2:0.0013020833333333333 4:0.0013020833333333333 5:0.0013020833333333333 6:0.0013020833333333333 7:0.0013020833333333333 9:0.0013020833333333333
AP890106-0020 19:0.2836700336700337 2:0.21632996632996632 4:0.14225589225589225 16:0.09848484848484848 12:0.07828282828282829 1:0.06481481481481481 11:0.041245791245791245 17:0.017676767676767676 10:0.017676767676767676 13:0.01430976430976431 0:0.007575757575757576 3:0.007575757575757576 6:0.004208754208754209 14:8.417508417508417E-4 15:8.417508417508417E-4 18:8.417508417508417E-4 5:8.417508417508417E-4 7:8.417508417508417E-4 8:8.417508417508417E-4 9:8.417508417508417E-4
AP890106-0047 15:0.6439075630252101 16:0.21533613445378152 1:0.038865546218487396 8:0.03466386554621849 18:0.026260504201680673 4:0.009453781512605041 11:0.005252100840336135 19:0.005252100840336135 6:0.005252100840336135 7:0.005252100840336135 12:0.0010504201680672268 13:0.0010504201680672268 14:0.0010504201680672268 17:0.0010504201680672268 0:0.0010504201680672268 2:0.0010504201680672268 3:0.0010504201680672268 5:0.0010504201680672268 9:0.0010504201680672268 10:0.0010504201680672268
AP890107-0131 18:0.24297752808988765 16:0.19803370786516855 9:0.1699438202247191 15:0.09691011235955056 13:0.06882022471910113 10:0.05196629213483146 5:0.04073033707865169 1:0.0351123595505618 19:0.02949438202247191 3:0.02949438202247191 12:0.012640449438202247 11:0.007022471910112359 7:0.007022471910112359 14:0.0014044943820224719 17:0.0014044943820224719 0:0.0014044943820224719 2:0.0014044943820224719 4:0.0014044943820224719 6:0.0014044943820224719 8:0.0014044943820224719
