AP890101-0002 8:0.3691646191646192 1:0.20945945945945946 5:0.12837837837837837 16:0.09643734643734644 13:0.0472972972972973 0:0.04484029484029484 2:0.030098280098280097 3:0.025184275184275184 17:0.02027027027027027 7:0.015356265356265357 19:0.005528255528255528 15:0.003071253071253071 11:6.142506142506142E-4 12:6.142506142506142E-4 14:6.142506142506142E-4 18:6.142506142506142E-4 4:6.142506142506142E-4 6:6.142506142506142E-4 9:6.142506142506142E-4 10:6.142506142506142E-4
AP890102-0107 12:0.5696078431372549 15:0.1303921568627451 18:0.059803921568627454 2:0.05588235294117647 3:0.04803921568627451 11:0.04411764705882353 16:0.028431372549019607 10:0.028431372549019607 13:0.012745098039215686 17:0.008823529411764706 19:0.004901960784313725 14:9.80392156862745E-4 0:9.80392156862745E-4 1:9.80392156862745E-4 4:9.80392156862745E-4 5:9.80392156862745E-4 6:9.80392156862745E-4 7:9.80392156862745E-4 8:9.80392156862745E-4 9:9.80392156862745E-4
AP890103-0087 16:0.33275862068965517 18:0.31896551724137934 4:0.10517241379310345 5:0.05 14:0.03620689655172414 19:0.03620689655172414 6:0.029310344827586206 17:0.022413793103448276 0:0.022413793103448276 9:0.022413793103448276 3:0.008620689655172414 11:0.0017241379310344827 12:0.0017241379310344827 13:0.0017241379310344827 15:0.0017241379310344827 1:0.0017241379310344827 2:0.0017241379310344827 7:0.0017241379310344827 8:0.0017241379310344827 10:0.0017241379310344827
AP890103-0120 5:0.3147590361445783 16:0.24849397590361447 3:0.15813253012048192 14:0.0858433734939759 11:0.03765060240963856 6:0.03765060240963856 13:0.025602409638554216 18:0.01957831325301205 1:0.01957831325301205 0:0.01355421686746988 7:0.01355421686746988 12:0.007530120481927711 8:0.007530120481927711 15:0.0015060240963855422 17:0.0015060240963855422 19:0.0015060240963855422 2:0.0015060240963855422 4:0.0015060240963855422 9:0.0015060240963855422 10:0.0015060240963855422
AP890103-0149 15:0.4324712643678161 16:0.16810344827586207 7:0.16235632183908047 3:0.11063218390804598 11:0.03017241379310345 18:0.02442528735632184 4:0.01867816091954023 8:0.01867816091954023 17:0.007183908045977011 19:0.007183908045977011 1:0.007183908045977011 12:0.0014367816091954023 13:0.0014367816091954023 14:0.0014367816091954023 0:0.0014367816091954023 2:0.0014367816091954023 5:0.0014367816091954023 6:0.0014367816091954023 9:0.0014367816091954023 10:0.0014367816091954023
AP890103-0161 11:0.39486754966887416 13:0.26241721854304634 16:0.13327814569536423 3:0.06374172185430464 8:0.04718543046357616 15:0.030629139072847682 7:0.024006622516556293 4:0.01076158940397351 6:0.01076158940397351 2:0.0074503311258278145 12:0.0041390728476821195 1:0.0041390728476821195 14:8.278145695364238E-4 17:8.278145695364238E-4 18:8.278145695364238E-4 19:8.278145695364238E-4 0:8.278145695364238E-4 5:8.278145695364238E-4 9:8.278145695364238E-4 10:8.278145695364238E-4
AP890103-0162 14:0.49558823529411766 11:0.26029411764705884 3:0.0838235294117647 6:0.07205882352941176 10:0.01911764705882353 4:0.013235294117647059 7:0.013235294117647059 8:0.013235294117647059 19:0.007352941176470588 0:0.007352941176470588 12:0.0014705882352941176 13:0.0014705882352941176 15:0.0014705882352941176 16:0.0014705882352941176 17:0.0014705882352941176 18:0.0014705882352941176 1:0.0014705882352941176 2:0.0014705882352941176 5:0.0014705882352941176 9:0.0014705882352941176
AP890103-0192 16:0.27265625 5:0.18828125 2:0.10703125 13:0.05703125 15:0.05078125 3:0.05078125 6:0.04765625 4:0.04453125 17:0.03828125 0:0.03828125 18:0.03203125 8:0.01953125 19:0.01640625 14:0.01328125 10:0.01015625 1:0.00390625 7:0.00390625 9:0.00390625 11:7.8125E-4 12:7.8125E-4
AP890103-0216 13:0.30138339920948615 11:0.2776679841897233 16:0.16304347826086957 8:0.1274703557312253 10:0.03260869565217391 3:0.020750988142292492 5:0.016798418972332016 7:0.012845849802371542 18:0.008893280632411068 0:0.008893280632411068 1:0.008893280632411068 9:0.008893280632411068 15:0.004940711462450593 12:9.881422924901185E-4 14:9.881422924901185E-4 17:9.881422924901185E-4 19:9.881422924901185E-4 2:9.881422924901185E-4 4:9.881422924901185E-4 6:9.881422924901185E-4
AP890104-0065 15:0.45933734939759036 7:0.19427710843373494 3:0.10391566265060241 12:0.07379518072289157 16:0.05572289156626506 14:0.025602409638554216 1:0.025602409638554216 0:0.01957831325301205 19:0.01355421686746988 11:0.007530120481927711 10:0.007530120481927711 13:0.0015060240963855422 17:0.0015060240963855422 18:0.0015060240963855422 2:0.0015060240963855422 4:0.0015060240963855422 5:0.0015060240963855422 6:0.0015060240963855422 8:0.0015060240963855422 9:0.0015060240963855422
AP890104-0217 6:0.28739130434782606 18:0.11695652173913043 4:0.09608695652173913 12:0.07869565217391304 3:0.07521739130434782 16:0.07173913043478261 15:0.050869565217391305 17:0.04217391304347826 2:0.03695652173913044 5:0.035217391304347825 19:0.03173913043478261 1:0.021304347826086957 7:0.01956521739130435 14:0.012608695652173913 13:0.010869565217391304 0:0.007391304347826087 8:0.00391304347826087 11:4.347826086956522E-4 9:4.347826086956522E-4 10:4.347826086956522E-4
AP890105-0008 10:0.4789325842696629 3:0.15870786516853932 11:0.1306179775280899 18:0.07443820224719101 5:0.046348314606741575 6:0.0351123595505618 19:0.023876404494382022 14:0.018258426966292134 7:0.018258426966292134 12:0.0014044943820224719 13:0.0014044943820224719 15:0.0014044943820224719 16:0.0014044943820224719 17:0.0014044943820224719 0:0.0014044943820224719 1:0.0014044943820224719 2:0.0014044943820224719 4:0.0014044943820224719 8:0.0014044943820224719 9:0.0014044943820224719
AP890105-0009 4:0.538659793814433 16:0.14690721649484537 15:0.07474226804123711 18:0.05412371134020619 19:0.05412371134020619 2:0.03350515463917526 9:0.03350515463917526 3:0.023195876288659795 17:0.01288659793814433 11:0.002577319587628866 12:0.002577319587628866 13:0.002577319587628866 14:0.002577319587628866 0:0.002577319587628866 1:0.002577319587628866 5:0.002577319587628866 6:0.002577319587628866 7:0.002577319587628866 8:0.002577319587628866 10:0.002577319587628866
AP890105-0157 12:0.4043103448275862 3:0.17327586206896553 16:0.10431034482758621 15:0.0939655172413793 7:0.07672413793103448 10:0.0353448275862069 5:0.025 13:0.021551724137931036 14:0.014655172413793103 17:0.011206896551724138 8:0.011206896551724138 11:0.007758620689655172 1:0.007758620689655172 19:0.004310344827586207 0:0.004310344827586207 18:8.620689655172414E-4 2:8.620689655172414E-4 4:8.620689655172414E-4 6:8.620689655172414E-4 9:8.620689655172414E-4
AP890105-0237 9:0.37799401197604793 8:0.34206586826347307 16:0.07859281437125748 3:0.051646706586826345 17:0.048652694610778445 7:0.027694610778443114 0:0.02470059880239521 1:0.021706586826347306 4:0.006736526946107785 5:0.006736526946107785 11:0.0037425149700598802 18:0.0037425149700598802 12:7.485029940119761E-4 13:7.485029940119761E-4 14:7.485029940119761E-4 15:7.485029940119761E-4 19:7.485029940119761E-4 2:7.485029940119761E-4 6:7.485029940119761E-4 10:7.485029940119761E-4
AP890106-0110 8:0.6993670886075949 12:0.09177215189873418 17:0.06645569620253164 16:0.028481012658227847 9:0.028481012658227847 13:0.015822784810126583 18:0.015822784810126583 2:0.015822784810126583 11:0.0031645569620253164 14:0.0031645569620253164 15:0.0031645569620253164 19:0.0031645569620253164 0:0.0031645569620253164 1:0.0031645569620253164 3:0.0031645569620253164 4:0.0031645569620253164 5:0.0031645569620253164 6:0.0031645569620253164 7:0.0031645569620253164 10:0.0031645569620253164
AP890106-0181 7:0.38629518072289154 15:0.26581325301204817 3:0.1272590361445783 6:0.054969879518072286 12:0.036897590361445784 16:0.024849397590361446 17:0.021837349397590362 4:0.01581325301204819 13:0.012801204819277108 18:0.012801204819277108 5:0.012801204819277108 8:0.012801204819277108 0:0.009789156626506024 11:7.530120481927711E-4 14:7.530120481927711E-4 19:7.530120481927711E-4 1:7.530120481927711E-4 2:7.530120481927711E-4 9:7.530120481927711E-4 10:7.530120481927711E-4
AP890106-0222 8:0.6124161073825504 12:0.1493288590604027 16:0.08221476510067115 17:0.05536912751677853 18:0.04194630872483222 9:0.015100671140939598 15:0.008389261744966443 1:0.008389261744966443 6:0.008389261744966443 11:0.0016778523489932886 13:0.0016778523489932886 14:0.0016778523489932886 19:0.0016778523489932886 0:0.0016778523489932886 2:0.0016778523489932886 3:0.0016778523489932886 4:0.0016778523489932886 5:0.0016778523489932886 7:0.0016778523489932886 10:0.0016778523489932886
AP890106-0235 17:0.4989270386266094 8:0.26716738197424894 16:0.09549356223175966 7:0.048283261802575105 1:0.03111587982832618 3:0.03111587982832618 19:0.00536480686695279 5:0.00536480686695279 9:0.00536480686695279 11:0.001072961373390558 12:0.001072961373390558 13:0.001072961373390558 14:0.001072961373390558 15:0.001072961373390558 18:0.001072961373390558 0:0.001072961373390558 2:0.001072961373390558 4:0.001072961373390558 6:0.001072961373390558 10:0.001072961373390558
