AP890102-0099 1:0.4438622754491018 3:0.21332335329341318 9:0.14146706586826346 12:0.04266467065868264 15:0.027694610778443114 14:0.02470059880239521 10:0.02470059880239521 13:0.015718562874251496 2:0.012724550898203593 6:0.012724550898203593 19:0.009730538922155689 8:0.009730538922155689 16:0.006736526946107785 5:0.006736526946107785 0:0.0037425149700598802 11:7.485029940119761E-4 17:7.485029940119761E-4 18:7.485029940119761E-4 4:7.485029940119761E-4 7:7.485029940119761E-4
AP890105-0023 9:0.3607456140350877 2:0.12390350877192982 11:0.09758771929824561 7:0.08442982456140351 12:0.0712719298245614 5:0.0625 4:0.03179824561403509 19:0.027412280701754384 14:0.023026315789473683 16:0.023026315789473683 17:0.023026315789473683 10:0.023026315789473683 8:0.01864035087719298 13:0.009868421052631578 0:0.009868421052631578 15:0.005482456140350877 18:0.0010964912280701754 1:0.0010964912280701754 3:0.0010964912280701754 6:0.0010964912280701754
AP890105-0066 13:0.6219879518072289 9:0.10993975903614457 7:0.061746987951807226 15:0.043674698795180725 2:0.03765060240963856 19:0.03162650602409638 12:0.025602409638554216 11:0.01957831325301205 3:0.01355421686746988 6:0.01355421686746988 8:0.007530120481927711 14:0.0015060240963855422 16:0.0015060240963855422 17:0.0015060240963855422 18:0.0015060240963855422 0:0.0015060240963855422 1:0.0015060240963855422 4:0.0015060240963855422 5:0.0015060240963855422 10:0.0015060240963855422
AP890105-0150 11:0.4426470588235294 5:0.3073529411764706 9:0.13088235294117648 18:0.08970588235294118 3:0.007352941176470588 12:0.0014705882352941176 13:0.0014705882352941176 14:0.0014705882352941176 15:0.0014705882352941176 16:0.0014705882352941176 17:0.0014705882352941176 19:0.0014705882352941176 0:0.0014705882352941176 1:0.0014705882352941176 2:0.0014705882352941176 4:0.0014705882352941176 6:0.0014705882352941176 7:0.0014705882352941176 8:0.0014705882352941176 10:0.0014705882352941176
AP890105-0259 14:0.875 1:0.020161290322580645 2:0.020161290322580645 8:0.020161290322580645 11:0.004032258064516129 12:0.004032258064516129 13:0.004032258064516129 15:0.004032258064516129 16:0.004032258064516129 17:0.004032258064516129 18:0.004032258064516129 19:0.004032258064516129 0:0.004032258064516129 3:0.004032258064516129 4:0.004032258064516129 5:0.004032258064516129 6:0.004032258064516129 7:0.004032258064516129 9:0.004032258064516129 10:0.004032258064516129
AP890106-0018 5:0.435126582278481 11:0.3929324894514768 9:0.06592827004219409 18:0.044831223628691984 13:0.021624472573839662 3:0.011075949367088608 14:0.006856540084388186 19:0.004746835443037975 6:0.004746835443037975 12:0.0026371308016877636 4:0.0026371308016877636 10:0.0026371308016877636 15:5.274261603375527E-4 16:5.274261603375527E-4 17:5.274261603375527E-4 0:5.274261603375527E-4 1:5.274261603375527E-4 2:5.274261603375527E-4 7:5.274261603375527E-4 8:5.274261603375527E-4
AP890106-0071 5:0.2806372549019608 11:0.21200980392156862 13:0.17769607843137256 9:0.14338235294117646 3:0.04044117647058824 1:0.03553921568627451 16:0.025735294117647058 0:0.015931372549019607 4:0.015931372549019607 12:0.011029411764705883 18:0.011029411764705883 6:0.011029411764705883 2:0.006127450980392157 10:0.006127450980392157 14:0.0012254901960784314 15:0.0012254901960784314 17:0.0012254901960784314 19:0.0012254901960784314 7:0.0012254901960784314 8:0.0012254901960784314
AP890106-0186 1:0.23278985507246377 9:0.13134057971014493 15:0.12771739130434784 8:0.09148550724637682 6:0.08423913043478261 13:0.07336956521739131 19:0.06974637681159421 11:0.0552536231884058 18:0.03351449275362319 2:0.029891304347826088 12:0.022644927536231884 17:0.01177536231884058 0:0.01177536231884058 3:0.01177536231884058 4:0.004528985507246377 10:0.004528985507246377 14:9.057971014492754E-4 16:9.057971014492754E-4 5:9.057971014492754E-4 7:9.057971014492754E-4
AP890106-0205 15:0.5218204488778054 3:0.20261845386533667 8:0.06546134663341646 1:0.05798004987531172 4:0.033042394014962596 9:0.033042394014962596 2:0.023067331670822942 11:0.013092269326683292 19:0.013092269326683292 12:0.008104738154613466 18:0.008104738154613466 7:0.008104738154613466 16:0.005610972568578554 5:0.003117206982543641 13:6.234413965087282E-4 14:6.234413965087282E-4 17:6.234413965087282E-4 0:6.234413965087282E-4 6:6.234413965087282E-4 10:6.234413965087282E-4
AP890106-0249 4:0.400390625 6:0.212890625 11:0.158203125 8:0.056640625 3:0.041015625 14:0.033203125 19:0.025390625 16:0.017578125 10:0.017578125 12:0.009765625 1:0.009765625 13:0.001953125 15:0.001953125 17:0.001953125 18:0.001953125 0:0.001953125 2:0.001953125 5:0.001953125 7:0.001953125 9:0.001953125
AP890107-0106 15:0.5173267326732673 8:0.2202970297029703 3:0.08168316831683169 18:0.05198019801980198 9:0.05198019801980198 1:0.022277227722772276 13:0.012376237623762377 7:0.012376237623762377 11:0.0024752475247524753 12:0.0024752475247524753 14:0.0024752475247524753 16:0.0024752475247524753 17:0.0024752475247524753 19:0.0024752475247524753 0:0.0024752475247524753 2:0.0024752475247524753 4:0.0024752475247524753 5:0.0024752475247524753 6:0.0024752475247524753 10:0.0024752475247524753
